year,month,q,qbase,VI,t_mean,runoff,pet,aet,gwr,runoff_2,delta_reservoir
2010,1,49.7584837696335,17.7561978891916,32.08103343465,-7.72066869300895,18.3633434650452,1.47130699088149,1.46553191489365,8.72565349544065,0,3.53227963525835
2010,2,18.7026596858639,12.6356285760254,18.7153799392101,-6.02583586626143,2.96638297872343,4.40534954407292,4.40534954407292,7.92911854103346,0,3.43452887537992
2010,3,95.8870366492147,19.8005826573888,88.7916109422496,0.713009118541029,27.9269300911852,18.6859574468082,18.6859574468082,13.489604863222,0,28.6929483282674
2010,4,73.9323895287958,26.814558411213,73.806200607903,7.44212765957441,14.1030395136778,50.3271732522788,50.3271732522788,15.3592705167176,0,-5.96686930091192
2010,5,24.5561465968586,9.9388993532303,48.6648024316118,13.3407294832828,1.47854103343465,92.4340425531918,85.2573252279631,6.60990881458962,0,-44.6542249240127
2010,6,17.405777591623,5.08410930031934,119.010699088147,16.7007902735561,30.482310030395,112.978297872339,89.1859574468076,0.495927051671728,0,-1.14613981762919
2010,7,12.6346429319372,4.79384108145404,97.8469300911851,21.2973252279633,15.9849848024317,137.08310030395,96.8967781155013,0.433738601823712,0,-15.4772036474165
2010,8,3.44050680628272,2.54965550190095,58.6648632218836,19.1113069908813,3.2462613981763,109.323100303953,64.6431003039511,0.131610942249238,0,-9.36802431610944
2010,9,11.3811870157068,2.58628000932374,187.110151975683,14.7829179331309,60.8925227963527,68.2837689969602,62.0342249240125,2.97878419452886,0,61.1939817629177
2010,10,70.3490513089005,12.1247900098584,97.7426747720339,6.8235258358664,37.9948936170211,29.4720364741633,29.4720364741633,13.0558662613981,0,17.2134954407296
2010,11,75.9435643979057,23.2886847703749,94.6645592705171,0.636595744680852,36.1405471124622,9.32012158054691,9.32012158054691,21.5397568389058,0,27.6953799392095
2010,12,88.8020104712042,24.590456499053,56.7215805471116,-7.14151975683893,30.7654711246199,1.76334346504557,1.76334346504557,23.3944072948331,0,0.827841945288763
2011,1,23.1108691099477,13.7741472996971,13.6929483282675,-11.144255319149,3.32316109422492,0.67465045592707,0.67465045592707,16.0252279635258,0.0295440729483283,-6.34303951367776
2011,2,16.2282722513089,10.5934489918045,7.83234042553204,-10.4042553191489,0.407781155015199,1.06765957446807,1.06765957446807,9.17379939209737,0,-2.77209726443768
2011,3,95.8485863874346,21.4460926955677,70.7355015197569,-3.97720364741647,32.3132522796351,8.58644376899692,8.58644376899692,12.9561094224924,10.6174468085106,11.3213981762918
2011,4,259.654617801047,54.9538658738769,347.880851063826,4.08796352583582,186.754164133739,37.5704559270518,37.5704559270518,35.2640729483282,54.6926443768999,39.6450455927051
2011,5,105.927983246073,28.1805875431564,148.878601823704,11.8336778115499,39.5680851063829,84.9230395136771,84.9230395136771,36.2662006079026,19.1577507598783,-23.3363525835865
2011,6,27.2793298429319,8.96320341244682,113.913556231002,17.2218237082064,36.1598176291792,115.634954407296,114.569848024317,8.25227963525829,3.2261398176292,-45.1210334346507
2011,7,39.5792971727749,6.75877942450861,150.593373860181,20.4657142857146,42.7947112462007,132.554407294835,103.079513677813,1.95471124620063,8.75203647416415,2.03148936170211
2011,8,91.7366701570681,9.67626848522448,190.21635258359,19.0842553191491,58.8351975683899,109.51775075988,107.669787234043,3.81422492401214,16.459452887538,12.4793920972644
2011,9,62.5364104712042,16.6255316678155,114.237993920974,15.5858966565353,32.8471732522796,70.3951367781174,69.9870516717343,7.61325227963522,17.2272948328268,-3.9597568389058
2011,10,48.450722513089,16.2835464443482,93.7971428571425,8.45689969604849,32.11367781155,33.6911854103352,33.6911854103352,9.08565349544069,15.4860182370821,9.20036474164141
2011,11,23.916967539267,14.6616107613395,59.0486930091196,3.77124620060781,11.0448632218844,14.0094224924015,14.0094224924015,9.99477203647415,10.2705775075989,16.6353191489363
2011,12,63.4261947643979,18.656741109704,59.1167173252278,-5.19471124620063,26.9390881458968,2.84176291793318,2.84176291793318,19.0068085106384,10.0200607902736,0.731732522796351
2012,1,19.0532356020942,12.5149854402295,1.14851063829788,-10.4957446808509,0,0.980790273556241,0.980790273556241,12.440425531915,0.244072948328267,-12.4799392097265
2012,2,11.1437905759162,8.3720971805277,3.27325227963533,-7.73465045592713,0,2.94571428571426,2.94571428571426,7.0377507598784,0.497142857142856,-6.78389057750763
2012,3,173.145147643979,15.4906813978393,230.764924012159,0.0596960486322174,138.538723404253,18.7354407294838,18.7354407294838,15.9694224924012,36.1679027355622,23.3071124620061
2012,4,71.5652104712042,29.4446820796313,87.39367781155,5.40778115501519,26.0973860182371,42.8079027355618,42.8079027355618,16.3140425531914,11.9446808510638,-5.19939209726445
2012,5,37.371845026178,17.9350798133469,108.563100303949,13.9133130699086,18.8587841945287,95.6449240121591,95.6449240121591,11.4995136778114,13.3635866261398,-20.5716717325228
2012,6,29.7653880628272,7.22286529605229,116.340729483285,17.9779939209729,40.8010942249242,119.70577507599,98.9367173252287,3.40565349544075,7.68522796352583,-30.3696656534951
2012,7,8.56156146596858,3.87650213253898,63.6595744680864,20.0260182370825,2.36261398176292,129.916474164133,77.2212765957438,0.244498480243165,0,-16.1607294832827
2012,8,4.60810554973822,2.64991106755698,87.773009118539,20.0946504559273,11.0280851063831,113.195623100302,80.8680851063825,0.956656534954402,0,-5.07890577507597
2012,9,7.69812691099477,2.85004834702402,99.0425531914875,14.3778723404253,47.5382978723402,66.3719148936179,40.6251063829787,0.093313069908813,0,10.833981762918
